iter	MAE
183	47.36728025
184	47.3304531
185	47.26552105
186	47.22703681
187	47.17764559
188	47.13912778
189	47.07556574
190	46.98456634
191	46.96041157
192	46.94446112
193	46.90894183
194	46.85427362
195	46.82827293
196	46.79219772
197	46.75505591
198	46.71811168
199	46.66308904
200	46.63220137
201	46.6007285
202	46.56529572
203	46.53018483
204	46.50053951
205	46.47534236
206	46.44445786
207	46.40379127
208	46.3764986
209	46.35120281
210	46.32513507
211	46.27078513
212	46.22716813
213	46.20651006
214	46.16297666
215	46.14126634
216	46.12495984
217	46.10355928
218	46.07466182
219	46.03815404
220	46.01278568
221	45.96410544
222	45.94577635
223	45.90960783
224	45.89316769
225	45.81658421
226	45.78454112
227	45.75698599
228	45.72243933
229	45.70187874
230	45.67217393
231	45.5775367
232	45.51843482
233	45.49061764
234	45.45538983
235	45.43959898
236	45.42487568
237	45.38085744
238	45.34389171
239	45.32787221
240	45.29800919
241	45.24688748
242	45.20994632
243	45.17391762
244	45.15049268
245	45.08620473
246	45.0642615
247	45.04973949
248	45.01160391
249	44.99724168
250	44.97449805
251	44.93789464
252	44.90946399
253	44.90058299
254	44.87727566
255	44.85893197
256	44.84721589
257	44.7900481
258	44.76654076
259	44.75311609
260	44.69310309
261	44.65330557
262	44.61673005
263	44.58725708
264	44.55448281
265	44.51963199
266	44.46552792
267	44.38689073
268	44.37558244
269	44.33371227
270	44.29385884
271	44.25473374
272	44.22933604
273	44.19793967
274	44.16882986
275	44.14842903
276	44.1236088
277	44.07810689
278	44.04709127
279	44.0279871
280	43.9702084
281	43.95607516
282	43.92314916
283	43.89936222
284	43.87806118
285	43.85045606
286	43.83110686
287	43.79916732
288	43.77917164
289	43.771392
290	43.74988704
291	43.72765141
292	43.69641439
293	43.65445354
294	43.62426006
295	43.6033205
296	43.58469039
297	43.53968424
298	43.50212237
299	43.48412197
300	43.43929708
301	43.42247913
302	43.40700446
303	43.38679377
304	43.37133731
305	43.35335772
306	43.31522066
307	43.26413056
308	43.22707924
309	43.20994389
310	43.19609537
311	43.15729455
312	43.14961438
313	43.11815764
314	43.09180843
315	43.06798143
316	43.01435517
317	42.99687817
318	42.95350807
319	42.93937625
320	42.91346273
321	42.87335059
322	42.8447933
323	42.83398157
324	42.79961336
325	42.7879995
326	42.77278406
327	42.71948233
328	42.67505592
329	42.66216767
330	42.64809814
331	42.60116551
332	42.56776375
333	42.54391616
334	42.51694284
335	42.4745159
336	42.46029259
337	42.4409723
338	42.4158612
339	42.40505462
340	42.3975609
341	42.37906153
342	42.32982497
343	42.30900429
344	42.29587778
345	42.27903005
346	42.24919947
347	42.236857
348	42.1984603
349	42.14608459
350	42.11894654
351	42.0803524
352	42.0421023
353	42.01425919
354	41.95090736
355	41.92023953
356	41.8796742
357	41.87186575
358	41.8362553
359	41.80697326
360	41.79757324
361	41.7568041
362	41.7408747
363	41.69644489
364	41.66769048
365	41.65789446
366	41.65191759
367	41.64114351
368	41.61793891
369	41.59888217
370	41.56477994
371	41.53045794
372	41.50240286
373	41.46984939
374	41.46556721
375	41.43488672
376	41.41380882
377	41.38931366
378	41.358671
379	41.3353155
380	41.32500652
381	41.29910066
382	41.25351741
383	41.2037496
384	41.18212328
385	41.14560944
386	41.10477823
387	41.09237996
388	41.07509613
389	41.0268863
390	40.97570935
391	40.96399676
392	40.93414471
393	40.92529963
394	40.86463203
395	40.83036205
396	40.80945492
397	40.77684398
398	40.75010208
399	40.74543814
400	40.72439133
401	40.70505004
402	40.66868592
403	40.64640938
404	40.63425219
405	40.59459283
406	40.58172743
407	40.55679518
408	40.53298069
409	40.50102814
410	40.47633
411	40.46151025
412	40.43332077
413	40.41945467
414	40.39674599
415	40.37539226
416	40.34974581
417	40.31547189
418	40.27966731
419	40.23491539
420	40.21961564
421	40.20785213
422	40.19156625
423	40.16872336
424	40.15572864
425	40.12962604
426	40.11302455
427	40.09057686
428	40.05932847
429	40.02862234
430	40.00549714
431	39.99730297
432	39.97135633
433	39.94168087
434	39.92287299
435	39.91025219
436	39.89134452
437	39.8619673
438	39.84199145
439	39.82300799
440	39.78997639
441	39.77843534
442	39.75452577
443	39.7179169
444	39.70345074
445	39.69015592
446	39.68243723
447	39.6575568
448	39.62734046
449	39.62210864
450	39.59037081
451	39.57859788
452	39.57090533
453	39.54276154
454	39.53379961
455	39.50912084
456	39.48802081
457	39.47411434
458	39.43418626
459	39.4104528
460	39.40175491
461	39.39551522
462	39.37410988
463	39.34749316
464	39.2738465
465	39.24823881
466	39.21150167
467	39.1878178
468	39.1670646
469	39.16338498
470	39.15568687
471	39.14587071
472	39.12103541
473	39.10827531
474	39.09607334
475	39.08277298
476	39.05664237
477	39.03779017
478	39.01663659
479	39.00327104
480	38.9862041
481	38.96056634
482	38.94177732
483	38.92722177
484	38.91297711
485	38.88798972
486	38.88263922
487	38.87452268
488	38.84648576
489	38.83997713
490	38.8349368
491	38.80802907
492	38.80163514
493	38.77338539
494	38.76503242
495	38.7547186
496	38.74286298
497	38.73255514
498	38.71740852
499	38.70630485
500	38.67756675
501	38.64839698
502	38.64387597
503	38.6081537
504	38.60413947
505	38.59427448
506	38.58831571
507	38.57923344
508	38.57343162
509	38.55773582
510	38.5485375
511	38.52817454
512	38.51582364
513	38.49365244
514	38.47453644
515	38.46205989
516	38.43793483
517	38.4103288
518	38.40444385
519	38.39029146
520	38.37992412
521	38.35048033
522	38.31778761
523	38.30840859
524	38.29248152
525	38.28008034
526	38.26745035
527	38.24321808
528	38.23426356
529	38.23129089
530	38.2285315
531	38.19627102
532	38.17935737
533	38.1443896
534	38.14092763
535	38.11046459
536	38.08227014
537	38.06083825
538	38.05935719
539	38.04618843
540	38.02151476
541	37.9945524
542	37.9694288
543	37.95439224
544	37.9419667
545	37.9031641
546	37.88357518
547	37.85564694
548	37.84576189
549	37.83464992
550	37.81844278
551	37.80487672
552	37.78721055
553	37.77999736
554	37.75442606
555	37.7364871
556	37.71886945
557	37.67894699
558	37.67138619
559	37.66760275
560	37.64742541
561	37.631969
562	37.62625071
563	37.61678151
564	37.61086279
565	37.58225229
566	37.56339781
567	37.55752218
568	37.53884286
569	37.52730085
570	37.52617317
571	37.51137914
572	37.50107735
573	37.49534599
574	37.47723657
