iter	MAE
0	184.8270101
1	180.1177426
2	175.7807906
3	171.6284817
4	167.8345788
5	163.9067966
6	160.2073274
7	156.5752457
8	153.1204154
9	149.8099093
10	146.5357385
11	143.3890146
12	140.3152771
13	137.2503581
14	134.3151912
15	131.491559
16	128.8978176
17	126.4319368
18	123.8102271
19	121.3274056
20	118.9964855
21	116.875328
22	114.6762866
23	112.6012585
24	110.4011111
25	108.375905
26	106.4796463
27	104.5350189
28	102.4788564
29	100.527217
30	98.83195469
31	97.17650772
32	95.66264031
33	94.25187535
34	92.68291437
35	91.09156232
36	89.59188237
37	88.26073243
38	86.73812957
39	85.48170796
40	84.2806413
41	83.197337
42	81.89047637
43	80.80134985
44	79.62458429
45	78.61409875
46	77.7204283
47	76.57350144
48	75.57794484
49	74.61461728
50	73.7045364
51	72.82676141
52	72.15719628
53	71.38168158
54	70.61251204
55	69.8099503
56	69.01873407
57	68.29385861
58	67.59557395
59	66.9140828
60	66.39394429
61	65.85956453
62	65.20410702
63	64.6117075
64	64.06178359
65	63.44332676
66	62.92983861
67	62.52464606
68	62.05944141
69	61.65210885
70	61.22258892
71	60.81173133
72	60.3662564
73	60.04739204
74	59.61515441
75	59.23689834
76	58.90206674
77	58.58220928
78	58.32330433
79	58.12155292
80	57.8607059
81	57.57375176
82	57.27749661
83	57.07368531
84	56.86227065
85	56.59710814
86	56.34346014
87	56.14430433
88	55.96810742
89	55.78655724
90	55.66501446
91	55.52228887
92	55.27432964
93	55.05638451
94	54.89651515
95	54.74031267
96	54.52448326
97	54.31070306
98	54.12651055
99	53.95007574
100	53.79570936
101	53.61178669
102	53.43748295
103	53.23966698
104	53.05209256
105	52.89629327
106	52.76957317
107	52.60012681
108	52.48054037
109	52.3451898
110	52.20733959
111	52.0954006
112	51.96512344
113	51.85317383
114	51.73453267
115	51.607611
116	51.48068813
117	51.36549348
118	51.27938152
119	51.1879015
120	51.10549086
121	51.03355706
122	50.97305484
123	50.89365995
124	50.8007558
125	50.70406148
126	50.62731454
127	50.54139961
128	50.4739428
129	50.4002139
130	50.29777569
131	50.1756172
132	50.10236082
133	50.06044012
134	49.99137184
135	49.94441667
136	49.86674734
137	49.7903219
138	49.73858093
139	49.69232706
140	49.65947595
141	49.59700918
142	49.49715292
143	49.43372046
144	49.38209223
145	49.29090373
146	49.21780743
147	49.12964193
148	49.06876871
149	49.00636161
150	48.9277253
151	48.88193868
152	48.85242783
153	48.80834751
154	48.75769513
155	48.70000209
156	48.65988435
157	48.60882632
158	48.53746556
159	48.50625694
160	48.44596967
161	48.40586122
162	48.33035268
163	48.28939316
164	48.26225609
165	48.2014982
166	48.17524172
167	48.09842497
168	48.07865506
169	48.05934153
170	48.02377151
171	47.96599554
172	47.8859953
173	47.83773224
174	47.75588377
175	47.70773822
176	47.67902046
177	47.65970267
178	47.61086933
179	47.57581092
180	47.50562897
181	47.46831048
182	47.42001713
