date,call_count
26-12-2023,373
27-12-2023,305
28-12-2023,351
29-12-2023,132
30-12-2023,6
02-01-2024,239
03-01-2024,294
04-01-2024,304
05-01-2024,209
06-01-2024,109
07-01-2024,22
08-01-2024,525
09-01-2024,451
10-01-2024,445
11-01-2024,525
12-01-2024,440
13-01-2024,48
14-01-2024,20
15-01-2024,517
16-01-2024,428
17-01-2024,531
18-01-2024,400
19-01-2024,483
20-01-2024,131
21-01-2024,69
22-01-2024,593
23-01-2024,558
24-01-2024,486
25-01-2024,533
26-01-2024,512
27-01-2024,90
28-01-2024,35
29-01-2024,653
30-01-2024,623
31-01-2024,592
01-02-2024,601
02-02-2024,508
03-02-2024,67
04-02-2024,34
05-02-2024,528
06-02-2024,497
07-02-2024,519
08-02-2024,554
09-02-2024,506
10-02-2024,68
11-02-2024,62
12-02-2024,595
13-02-2024,592
14-02-2024,507
15-02-2024,567
16-02-2024,397
17-02-2024,49
18-02-2024,87
19-02-2024,560
20-02-2024,550
21-02-2024,378
22-02-2024,496
23-02-2024,492
24-02-2024,39
25-02-2024,15
26-02-2024,423
27-02-2024,424
28-02-2024,382
29-02-2024,381
01-03-2024,514
02-03-2024,73
03-03-2024,9
04-03-2024,506
05-03-2024,582
06-03-2024,484
07-03-2024,559
08-03-2024,307
09-03-2024,102
10-03-2024,26
11-03-2024,519
12-03-2024,521
13-03-2024,508
14-03-2024,461
15-03-2024,645
16-03-2024,122
17-03-2024,99
18-03-2024,452
19-03-2024,666
20-03-2024,457
21-03-2024,483
22-03-2024,558
23-03-2024,25
24-03-2024,79
25-03-2024,562
26-03-2024,535
27-03-2024,428
28-03-2024,289
29-03-2024,237
30-03-2024,96
31-03-2024,93
01-04-2024,425
02-04-2024,646
03-04-2024,615
04-04-2024,534
05-04-2024,415
06-04-2024,77
07-04-2024,41
08-04-2024,454
09-04-2024,521
10-04-2024,492
11-04-2024,536
12-04-2024,365
13-04-2024,22
14-04-2024,36
15-04-2024,392
16-04-2024,407
17-04-2024,435
18-04-2024,515
19-04-2024,583
20-04-2024,218
21-04-2024,54
22-04-2024,659
23-04-2024,591
24-04-2024,549
25-04-2024,437
26-04-2024,495
27-04-2024,99
28-04-2024,72
29-04-2024,451
30-04-2024,472
01-05-2024,292
02-05-2024,359
03-05-2024,396
04-05-2024,109
05-05-2024,31
06-05-2024,520
07-05-2024,402
08-05-2024,323
09-05-2024,351
10-05-2024,326
11-05-2024,94
12-05-2024,39
13-05-2024,332
14-05-2024,480
15-05-2024,329
16-05-2024,337
17-05-2024,301
18-05-2024,112
19-05-2024,83
20-05-2024,476
21-05-2024,389
22-05-2024,420
23-05-2024,329
24-05-2024,347
25-05-2024,65
26-05-2024,19
28-05-2024,332
29-05-2024,351
30-05-2024,409
31-05-2024,356
01-06-2024,48
02-06-2024,24
03-06-2024,375
04-06-2024,341
05-06-2024,338
06-06-2024,352
07-06-2024,335
08-06-2024,102
09-06-2024,56
10-06-2024,445
11-06-2024,408
12-06-2024,384
13-06-2024,294
14-06-2024,305
15-06-2024,79
16-06-2024,51
17-06-2024,412
18-06-2024,437
19-06-2024,341
20-06-2024,300
21-06-2024,340
22-06-2024,60
23-06-2024,51
24-06-2024,307
25-06-2024,289
26-06-2024,344
27-06-2024,356
28-06-2024,352
29-06-2024,113
30-06-2024,54
01-07-2024,353
02-07-2024,460
03-07-2024,376
05-07-2024,369
06-07-2024,91
07-07-2024,42
08-07-2024,347
09-07-2024,395
10-07-2024,281
11-07-2024,403
12-07-2024,346
13-07-2024,187
14-07-2024,38
15-07-2024,415
16-07-2024,368
17-07-2024,407
18-07-2024,436
19-07-2024,269
20-07-2024,151
21-07-2024,151
22-07-2024,324
23-07-2024,323
24-07-2024,392
25-07-2024,254
26-07-2024,213
27-07-2024,105
28-07-2024,80
29-07-2024,337
30-07-2024,338
31-07-2024,301
01-08-2024,282
02-08-2024,266
03-08-2024,104
04-08-2024,44
05-08-2024,256
06-08-2024,418
07-08-2024,420
08-08-2024,313
09-08-2024,251
10-08-2024,136
11-08-2024,72
12-08-2024,319
13-08-2024,398
14-08-2024,291
15-08-2024,369
16-08-2024,296
17-08-2024,111
18-08-2024,92
19-08-2024,330
20-08-2024,270
21-08-2024,399
22-08-2024,228
23-08-2024,265
24-08-2024,108
25-08-2024,99
26-08-2024,265
27-08-2024,311
28-08-2024,272
29-08-2024,291
30-08-2024,246
31-08-2024,154
01-09-2024,99
02-09-2024,221
03-09-2024,280
04-09-2024,293
05-09-2024,297
06-09-2024,219
07-09-2024,74
08-09-2024,117
09-09-2024,374
10-09-2024,496
11-09-2024,442
12-09-2024,381
13-09-2024,320
14-09-2024,88
15-09-2024,77
16-09-2024,486
17-09-2024,367
18-09-2024,417
19-09-2024,381
20-09-2024,258
21-09-2024,38
22-09-2024,115
23-09-2024,358
24-09-2024,330
25-09-2024,299
26-09-2024,450
27-09-2024,296
28-09-2024,123
29-09-2024,62
30-09-2024,377
01-10-2024,416
02-10-2024,255
03-10-2024,338
04-10-2024,208
05-10-2024,115
06-10-2024,83
07-10-2024,246
08-10-2024,227
09-10-2024,364
10-10-2024,323
11-10-2024,305
12-10-2024,91
13-10-2024,88
14-10-2024,304
15-10-2024,405
16-10-2024,328
17-10-2024,391
18-10-2024,315
19-10-2024,170
20-10-2024,77
21-10-2024,326
22-10-2024,421
23-10-2024,422
24-10-2024,382
25-10-2024,305
26-10-2024,41
27-10-2024,64
28-10-2024,273
29-10-2024,392
30-10-2024,369
31-10-2024,354
01-11-2024,237
02-11-2024,46
03-11-2024,85
04-11-2024,484
05-11-2024,357
06-11-2024,400
07-11-2024,461
08-11-2024,282
09-11-2024,73
10-11-2024,61
11-11-2024,269
12-11-2024,388
13-11-2024,317
14-11-2024,390
15-11-2024,405
16-11-2024,100
17-11-2024,77
18-11-2024,473
19-11-2024,496
20-11-2024,416
21-11-2024,506
22-11-2024,320
23-11-2024,102
24-11-2024,71
25-11-2024,556
26-11-2024,567
27-11-2024,460
29-11-2024,96
30-11-2024,69
01-12-2024,202
02-12-2024,532
03-12-2024,612
04-12-2024,586
05-12-2024,500
06-12-2024,384
07-12-2024,29
08-12-2024,149
09-12-2024,467
10-12-2024,409
11-12-2024,451
12-12-2024,478
13-12-2024,340
14-12-2024,62
15-12-2024,119
16-12-2024,459
17-12-2024,564
18-12-2024,400
19-12-2024,482
20-12-2024,345
21-12-2024,33
22-12-2024,2
23-12-2024,55
24-12-2024,26
26-12-2024,45
27-12-2024,18
28-12-2024,2
29-12-2024,101
30-12-2024,309
31-12-2024,319
02-01-2025,511
03-01-2025,340
04-01-2025,118
05-01-2025,89
06-01-2025,474
07-01-2025,474
08-01-2025,528
09-01-2025,528
10-01-2025,447
11-01-2025,44
12-01-2025,118
13-01-2025,412
14-01-2025,466
15-01-2025,529
16-01-2025,489
17-01-2025,347
18-01-2025,91
19-01-2025,15
20-01-2025,487
21-01-2025,551
22-01-2025,503
23-01-2025,530
24-01-2025,471
25-01-2025,40
26-01-2025,25
27-01-2025,388
28-01-2025,517
29-01-2025,511
30-01-2025,495
31-01-2025,411
01-02-2025,32
02-02-2025,14
03-02-2025,428
04-02-2025,461
05-02-2025,490
06-02-2025,537
07-02-2025,513
08-02-2025,21
09-02-2025,25
10-02-2025,407
11-02-2025,369
12-02-2025,511
13-02-2025,493
14-02-2025,288
15-02-2025,2
16-02-2025,3
17-02-2025,497
18-02-2025,515
19-02-2025,581
20-02-2025,446
21-02-2025,402
22-02-2025,35
23-02-2025,53
24-02-2025,398
25-02-2025,426
26-02-2025,381
27-02-2025,526
28-02-2025,536
01-03-2025,34
02-03-2025,20
03-03-2025,405
04-03-2025,242
05-03-2025,441
06-03-2025,490
07-03-2025,574
08-03-2025,76
09-03-2025,37
10-03-2025,528
11-03-2025,543
12-03-2025,571
13-03-2025,684
14-03-2025,621
15-03-2025,31
16-03-2025,17
17-03-2025,708
18-03-2025,570
19-03-2025,670
20-03-2025,565
21-03-2025,675
22-03-2025,50
23-03-2025,16
24-03-2025,500
25-03-2025,690
26-03-2025,746
27-03-2025,736
28-03-2025,759
29-03-2025,20
30-03-2025,10
31-03-2025,376
01-04-2025,499
02-04-2025,572
03-04-2025,606
04-04-2025,555
05-04-2025,15
06-04-2025,7
07-04-2025,641
08-04-2025,680
09-04-2025,604
10-04-2025,614
11-04-2025,507
12-04-2025,30
13-04-2025,21
14-04-2025,592
15-04-2025,782
16-04-2025,697
17-04-2025,556
18-04-2025,297
19-04-2025,13
20-04-2025,1
21-04-2025,693
22-04-2025,723
23-04-2025,758
24-04-2025,690
25-04-2025,682
26-04-2025,15
27-04-2025,3
28-04-2025,760
29-04-2025,766
30-04-2025,689
01-05-2025,621
02-05-2025,717
03-05-2025,14
04-05-2025,23
05-05-2025,773
06-05-2025,857
07-05-2025,622
08-05-2025,731
09-05-2025,667
10-05-2025,33
11-05-2025,26
12-05-2025,695
13-05-2025,831
14-05-2025,667
15-05-2025,698
16-05-2025,649
17-05-2025,16
18-05-2025,33
19-05-2025,703
20-05-2025,778
21-05-2025,679
22-05-2025,572
23-05-2025,638
24-05-2025,20
25-05-2025,3
27-05-2025,620
28-05-2025,679
29-05-2025,669
30-05-2025,550
31-05-2025,29
01-06-2025,3
02-06-2025,458
03-06-2025,578
04-06-2025,692
05-06-2025,398
06-06-2025,392
07-06-2025,6
08-06-2025,1
09-06-2025,515
10-06-2025,566
11-06-2025,472
12-06-2025,470
13-06-2025,359
14-06-2025,5
15-06-2025,20
16-06-2025,491
17-06-2025,445
18-06-2025,493
19-06-2025,413
20-06-2025,332
21-06-2025,26
22-06-2025,9
23-06-2025,537
24-06-2025,559
25-06-2025,406
26-06-2025,487
27-06-2025,489
28-06-2025,25
29-06-2025,9
30-06-2025,501
01-07-2025,509
02-07-2025,571
03-07-2025,553
04-07-2025,52
05-07-2025,10
06-07-2025,5
07-07-2025,555
08-07-2025,684
